it took 2.7 hours to brute force the answer
doing ~808 billion operations over 10 seconds

TimeStamp:822856780257 Diff:822859967360 DC:12
TimeStamp:1648150760956 Diff:825270918526 DC:13
TimeStamp:2463603440578 Diff:815440021360 DC:13
TimeStamp:3281418234707 Diff:817805043505 DC:13
TimeStamp:4097665404476 Diff:816240348419 DC:13
TimeStamp:4913985279018 Diff:816303726273 DC:13
TimeStamp:5732993999914 Diff:818991543114 DC:13
TimeStamp:6555743761904 Diff:822738611637 DC:13
TimeStamp:7380855920270 Diff:825103491345 DC:13
TimeStamp:8203504467249 Diff:822636733723 DC:13
TimeStamp:9027017091160 Diff:823496532737 DC:13
TimeStamp:9848790762439 Diff:821755962213 DC:13
TimeStamp:10669511327261 Diff:820708787025 DC:14
TimeStamp:11494879503213 Diff:825358709601 DC:14
TimeStamp:12322023355902 Diff:827137307799 DC:14
TimeStamp:13141509367559 Diff:819479772676 DC:14
TimeStamp:13961045176273 Diff:819528076849 DC:14
TimeStamp:14774858886224 Diff:813804401062 DC:14
TimeStamp:15591616402956 Diff:816749778857 DC:14
TimeStamp:16411232230613 Diff:819610564099 DC:14
TimeStamp:17230683390881 Diff:819442760692 DC:14
TimeStamp:18051352451205 Diff:820662446319 DC:14
TimeStamp:18869777846309 Diff:818413833066 DC:14
TimeStamp:19696313303693 Diff:826524164594 DC:14
TimeStamp:20521256795616 Diff:824921820464 DC:14
TimeStamp:21341100244210 Diff:819807394003 DC:14
TimeStamp:22165277752017 Diff:824146870630 DC:14
TimeStamp:22981723561301 Diff:816413118490 DC:14
TimeStamp:23804688367101 Diff:822939500695 DC:14
TimeStamp:24625592824701 Diff:820876789964 DC:14
TimeStamp:25446041566839 Diff:820427687305 DC:14
TimeStamp:26265564324237 Diff:819495322349 DC:14
TimeStamp:27086196185666 Diff:820606924737 DC:14
TimeStamp:27907836748066 Diff:821614824575 DC:14
TimeStamp:28724339518928 Diff:816489560281 DC:14
TimeStamp:29543991501543 Diff:819643331821 DC:14
TimeStamp:30359000276555 Diff:814994088375 DC:14
TimeStamp:31183173695759 Diff:824155640422 DC:14
TimeStamp:32001908342625 Diff:818721963362 DC:14
TimeStamp:32817612624887 Diff:815672678076 DC:14
TimeStamp:33641499777574 Diff:823861502007 DC:14
TimeStamp:34468793907308 Diff:827268152110 DC:14
TimeStamp:35294419499373 Diff:825596870275 DC:14
TimeStamp:36114613776909 Diff:820152728002 DC:14
TimeStamp:36932615203775 Diff:817990988097 DC:14
TimeStamp:37744902117700 Diff:812267196317 DC:14
TimeStamp:38569625069067 Diff:824689555600 DC:14
TimeStamp:39396189695986 Diff:826549704089 DC:14
TimeStamp:40213703931818 Diff:817494996620 DC:14
TimeStamp:41032784061130 Diff:819055873553 DC:14
TimeStamp:41850475815534 Diff:817673017027 DC:14
TimeStamp:42668938730467 Diff:818446942757 DC:14
TimeStamp:43488762618915 Diff:819802887104 DC:14
TimeStamp:44304309013669 Diff:815535796119 DC:14
TimeStamp:45123857660945 Diff:819538471745 DC:14
TimeStamp:45942834649041 Diff:818970485877 DC:14
TimeStamp:46768688773159 Diff:825831346819 DC:14
TimeStamp:47588999181925 Diff:820288413368 DC:14
TimeStamp:48406309221997 Diff:817303763228 DC:14
TimeStamp:49218844030993 Diff:812527717196 DC:14
TimeStamp:50038250113857 Diff:819370947202 DC:14
TimeStamp:50860166358563 Diff:821898715339 DC:14
TimeStamp:51685131021913 Diff:824926427129 DC:14
TimeStamp:52512433316232 Diff:827280041092 DC:14
TimeStamp:53335355831465 Diff:822910737436 DC:14
TimeStamp:54159653565716 Diff:824274919089 DC:14
TimeStamp:54979581990902 Diff:819917581944 DC:14
TimeStamp:55798988344817 Diff:819381491747 DC:14
TimeStamp:56626119874001 Diff:827119843941 DC:14
TimeStamp:57454278355925 Diff:828136126527 DC:14
TimeStamp:58283080918731 Diff:828782819956 DC:14
TimeStamp:59105553600489 Diff:822437321322 DC:14
TimeStamp:59929934127899 Diff:824368704538 DC:14
TimeStamp:60758267268837 Diff:828323089814 DC:14
TimeStamp:61585284631460 Diff:826996847488 DC:14
TimeStamp:62403577936981 Diff:818270966351 DC:14
TimeStamp:63224248882642 Diff:820662334533 DC:14
TimeStamp:64043325166155 Diff:819053572324 DC:14
TimeStamp:64862623639368 Diff:819288203325 DC:14
TimeStamp:65685110808231 Diff:822459180293 DC:14
TimeStamp:66503988762345 Diff:818865321695 DC:14
TimeStamp:67323476407520 Diff:819465652782 DC:14
TimeStamp:68140315305662 Diff:816824554075 DC:14
TimeStamp:68957050918348 Diff:816700043703 DC:14
TimeStamp:69777701417388 Diff:820642016526 DC:14
TimeStamp:70596426536601 Diff:818714903415 DC:14
TimeStamp:71417116357268 Diff:820668955149 DC:14
TimeStamp:72242917648077 Diff:825775025907 DC:14
TimeStamp:73061985271781 Diff:819046895214 DC:14
TimeStamp:73886310360547 Diff:824305166818 DC:14
TimeStamp:74665516650236 Diff:779193808121 DC:14
TimeStamp:75485572604016 Diff:820043252847 DC:14
TimeStamp:76312246421216 Diff:826652814053 DC:14
TimeStamp:77135970616359 Diff:823707843736 DC:14
TimeStamp:77954317986037 Diff:818338923825 DC:14
TimeStamp:78751513356641 Diff:797166562871 DC:14
TimeStamp:79578003039461 Diff:826467141714 DC:14
TimeStamp:80403866045157 Diff:825841566223 DC:14
TimeStamp:81224899242967 Diff:821006525430 DC:14
TimeStamp:82046298143868 Diff:821382617407 DC:14
TimeStamp:82844972864553 Diff:798666270625 DC:14
TimeStamp:83672068723185 Diff:827066408430 DC:14
TimeStamp:84497150501001 Diff:825073425118 DC:14
TimeStamp:85311902674856 Diff:814717546639 DC:14
TimeStamp:86117759238563 Diff:805851956441 DC:14
TimeStamp:86943840396441 Diff:826063575623 DC:14
TimeStamp:87765192821411 Diff:821334608325 DC:14
TimeStamp:88584790234428 Diff:819568903380 DC:14
TimeStamp:89407143251677 Diff:822337976623 DC:14
TimeStamp:90232163870531 Diff:825007058491 DC:14
TimeStamp:91060755924673 Diff:828572756032 DC:14
TimeStamp:91875429464289 Diff:814649878847 DC:14
TimeStamp:92694508650031 Diff:819068414620 DC:14
TimeStamp:93509240534727 Diff:814722609463 DC:14
TimeStamp:94317900326507 Diff:808615253473 DC:14
TimeStamp:95138927961461 Diff:821010397072 DC:14
TimeStamp:95963409393766 Diff:824466481829 DC:14
TimeStamp:96788338113710 Diff:824907059303 DC:14
